CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE MAXMHZ    MINMHZ
101 4    1      37   37:37:37:9    yes    2000.0000 1200.0000
102 4    1      38   38:38:38:9    yes    2000.0000 1200.0000
103 4    1      39   39:39:39:9    yes    2000.0000 1200.0000
104 5    1      40   40:40:40:10   yes    2000.0000 1200.0000
105 5    1      41   41:41:41:10   yes    2000.0000 1200.0000
106 5    1      42   42:42:42:10   yes    2000.0000 1200.0000
107 5    1      43   43:43:43:10   yes    2000.0000 1200.0000
108 5    1      44   44:44:44:11   yes    2000.0000 1200.0000
109 5    1      45   45:45:45:11   yes    2000.0000 1200.0000
110 5    1      46   46:46:46:11   yes    2000.0000 1200.0000
111 5    1      47   47:47:47:11   yes    2000.0000 1200.0000
112 6    1      48   48:48:48:12   yes    2000.0000 1200.0000
113 6    1      49   49:49:49:12   yes    2000.0000 1200.0000
114 6    1      50   50:50:50:12   yes    2000.0000 1200.0000
115 6    1      51   51:51:51:12   yes    2000.0000 1200.0000
116 6    1      52   52:52:52:13   yes    2000.0000 1200.0000
117 6    1      53   53:53:53:13   yes    2000.0000 1200.0000
118 6    1      54   54:54:54:13   yes    2000.0000 1200.0000
119 6    1      55   55:55:55:13   yes    2000.0000 1200.0000
120 7    1      56   56:56:56:14   yes    2000.0000 1200.0000
121 7    1      57   57:57:57:14   yes    2000.0000 1200.0000
122 7    1      58   58:58:58:14   yes    2000.0000 1200.0000
123 7    1      59   59:59:59:14   yes    2000.0000 1200.0000
124 7    1      60   60:60:60:15   yes    2000.0000 1200.0000
125 7    1      61   61:61:61:15   yes    2000.0000 1200.0000
126 7    1      62   62:62:62:15   yes    2000.0000 1200.0000
127 7    1      63   63:63:63:15   yes    2000.0000 1200.0000
